epoch,train_loss,val_loss,is_new_best,best_val,source_file
0,0.1664,0.1416,True,0.1416,train-videomae-train-167543.out
1,0.1568,0.1381,True,0.1381,train-videomae-train-167543.out
2,0.1545,0.1372,True,0.1372,train-videomae-train-167543.out
3,0.1523,0.1352,True,0.1352,train-videomae-train-167543.out
4,0.1506,0.1351,True,0.1351,train-videomae-train-167543.out
5,0.1488,0.1351,True,0.1351,train-videomae-train-167662.out
6,0.1473,0.1332,True,0.1332,train-videomae-train-167662.out
7,0.1458,0.1331,True,0.1331,train-videomae-train-167662.out
8,0.1441,0.132,True,0.132,train-videomae-train-167662.out
9,0.1426,0.1316,True,0.1316,train-videomae-train-167662.out
10,0.1413,0.1307,True,0.1307,train-videomae-train-167662.out
11,0.1397,0.1305,True,0.1305,train-videomae-train-167662.out
12,0.1382,0.1323,True,0.1323,train-videomae-train-167882.out
13,0.1359,0.1322,True,0.1322,train-videomae-train-168130.out
14,0.1355,0.1298,True,0.1298,train-videomae-train-168130.out
15,0.1341,0.1283,True,0.1283,train-videomae-train-168130.out
16,0.1314,0.13,True,0.13,train-videomae-train-168189.out
17,0.1304,0.1293,True,0.1293,train-videomae-train-168189.out
18,0.129,0.1293,True,0.1293,train-videomae-train-168189.out
19,0.1277,0.1295,False,,train-videomae-train-168189.out
20,0.1259,0.1261,True,0.1261,train-videomae-train-168189.out
21,0.1212,0.1035,True,0.1035,train-videomae-train-168189.out
22,0.0771,0.053,True,0.053,train-videomae-train-168189.out
23,0.0487,0.0393,True,0.0393,train-videomae-train-168189.out
24,0.04,0.0352,True,0.0352,train-videomae-train-168189.out
25,0.0358,0.0315,True,0.0315,train-videomae-train-168189.out
26,0.0329,0.0296,True,0.0296,train-videomae-train-168189.out
27,0.0306,0.0274,True,0.0274,train-videomae-train-168189.out
28,0.0287,0.0258,True,0.0258,train-videomae-train-168189.out
29,0.0273,0.0255,True,0.0255,train-videomae-train-168189.out
30,0.026,0.0235,True,0.0235,train-videomae-train-168189.out
31,0.025,0.0231,True,0.0231,train-videomae-train-168189.out
32,0.0241,0.0222,True,0.0222,train-videomae-train-168189.out
33,0.0233,0.0213,True,0.0213,train-videomae-train-168189.out
34,0.0226,0.0209,True,0.0209,train-videomae-train-168189.out
35,0.0219,0.0205,True,0.0205,train-videomae-train-168189.out
36,0.0213,0.0197,True,0.0197,train-videomae-train-168189.out
37,0.0208,0.0193,True,0.0193,train-videomae-train-168189.out
38,0.0203,0.019,True,0.019,train-videomae-train-168189.out
39,0.0198,0.0188,True,0.0188,train-videomae-train-168189.out
40,0.0193,0.0181,True,0.0181,train-videomae-train-168189.out
41,0.0189,0.0177,True,0.0177,train-videomae-train-168189.out
42,0.0185,0.0175,True,0.0175,train-videomae-train-168189.out
43,0.0181,0.0169,True,0.0169,train-videomae-train-168189.out
44,0.0177,0.0166,True,0.0166,train-videomae-train-168189.out
45,0.0172,0.0161,True,0.0161,train-videomae-train-168189.out
46,0.0167,0.0157,True,0.0157,train-videomae-train-168189.out
47,0.0162,0.0154,True,0.0154,train-videomae-train-168189.out
48,0.0157,0.0147,True,0.0147,train-videomae-train-168189.out
49,0.0153,0.0152,False,,train-videomae-train-168189.out
50,0.0148,0.0138,True,0.0138,train-videomae-train-168189.out
51,0.0144,0.0137,True,0.0137,train-videomae-train-168189.out
52,0.0139,0.013,True,0.013,train-videomae-train-168189.out
53,0.0135,0.0127,True,0.0127,train-videomae-train-168189.out
54,0.013,0.0123,True,0.0123,train-videomae-train-168189.out
55,0.0126,0.0119,True,0.0119,train-videomae-train-168189.out
56,0.0122,0.0117,True,0.0117,train-videomae-train-168189.out
57,0.0119,0.0115,True,0.0115,train-videomae-train-168189.out
58,0.0116,0.011,True,0.011,train-videomae-train-168189.out
59,0.0113,0.0109,True,0.0109,train-videomae-train-168189.out
60,0.0111,0.0106,True,0.0106,train-videomae-train-168189.out
61,0.0109,0.0105,True,0.0105,train-videomae-train-168189.out
62,0.0107,0.0102,True,0.0102,train-videomae-train-168189.out
63,0.0105,0.0102,True,0.0102,train-videomae-train-168189.out
64,0.0103,0.0099,True,0.0099,train-videomae-train-168189.out
65,0.0101,0.0097,True,0.0097,train-videomae-train-168189.out
66,0.0099,0.0094,True,0.0094,train-videomae-train-168189.out
67,0.0097,0.0093,True,0.0093,train-videomae-train-168189.out
68,0.0096,0.0095,False,,train-videomae-train-168189.out
69,0.0094,0.0091,True,0.0091,train-videomae-train-168189.out
70,0.0093,0.009,True,0.009,train-videomae-train-168189.out
71,0.0091,0.0088,True,0.0088,train-videomae-train-168189.out
72,0.009,0.0087,True,0.0087,train-videomae-train-168189.out
73,0.0088,0.0087,True,0.0087,train-videomae-train-168189.out
74,0.0087,0.0083,True,0.0083,train-videomae-train-168189.out
75,0.0085,0.0083,True,0.0083,train-videomae-train-168189.out
76,0.0084,0.0082,True,0.0082,train-videomae-train-168189.out
77,0.0083,0.0082,False,,train-videomae-train-168189.out
78,0.0082,0.0081,True,0.0081,train-videomae-train-168189.out
79,0.0081,0.0079,True,0.0079,train-videomae-train-168189.out
80,0.008,0.0077,True,0.0077,train-videomae-train-168189.out
81,0.0079,0.0076,True,0.0076,train-videomae-train-168189.out
82,0.0078,0.0076,False,,train-videomae-train-168189.out
83,0.0077,0.0076,False,,train-videomae-train-168189.out
84,0.0076,0.0073,True,0.0073,train-videomae-train-168189.out
85,0.0075,0.0071,True,0.0071,train-videomae-train-168189.out
86,0.0074,0.0073,False,,train-videomae-train-168189.out
87,0.0073,0.0071,True,0.0071,train-videomae-train-168189.out
88,0.0072,0.0074,False,,train-videomae-train-168189.out
89,0.0072,0.007,True,0.007,train-videomae-train-168189.out
90,0.0071,0.0069,True,0.0069,train-videomae-train-168189.out
91,0.007,0.0068,True,0.0068,train-videomae-train-168365.out
92,0.007,0.0068,False,,train-videomae-train-168365.out
93,0.0069,0.0067,True,0.0067,train-videomae-train-168365.out
94,0.0069,0.0068,False,,train-videomae-train-168365.out
95,0.0068,0.0068,False,,train-videomae-train-168365.out
96,0.0067,0.0066,True,0.0066,train-videomae-train-168365.out
97,0.0067,0.0065,True,0.0065,train-videomae-train-168365.out
98,0.0067,0.0065,True,0.0065,train-videomae-train-168365.out
99,0.0066,0.0067,False,,train-videomae-train-168365.out
